Year,Trimester,District,Neighbourhood,Price (euro/month),Price (euro/m2)
2015,1,Nou Barris,Ciutat Meridiana,401.17,6.58
2015,1,Sant Andreu,la Trinitat Vella,383.62,6.89
2015,1,Sant Andreu,Baro de Viver,303.8,5.08
2015,1,Sant Andreu,el Bon Pastor,504.27,8.33
2015,1,Sant Andreu,Sant Andreu,585.98,9.28
2015,1,Sant Andreu,la Sagrera,619.16,8.85
2015,1,Sant Andreu,el Congres i els Indians,595.43,8.97
2015,1,Sant Andreu,Navas,665.89,9.19
2015,1,Sant Marti,el Camp de l'Arpa del Clot,615.46,9.64
2015,1,Sant Marti,el Clot,618.57,9.36
2015,1,Sant Marti,el Parc i la Llacuna del Poblenou,722.23,9.82
2015,1,Sant Marti,la Vila Olimpica del Poblenou,1093.14,12.93
2015,1,Sant Marti,el Poblenou,682.84,10.62
2015,1,Sant Marti,Diagonal Mar i el Front Maritim del Poblenou,914.75,11.63
2015,1,Sant Marti,el Besos i el Maresme,512.89,8.38
2015,1,Sant Marti,Provencals del Poblenou,612.11,9.07
2015,1,Sant Marti,Sant Marti de Provencals,662.25,9.32
2015,1,Sant Marti,la Verneda i la Pau,609.22,8.61
2015,2,Ciutat Vella,el Raval,598.91,10.92
2015,2,Ciutat Vella,Gothic Quarter,771.13,11.07
2015,2,Ciutat Vella,la Barceloneta,598.16,16.0
2015,2,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",708.03,12.02
2015,2,Eixample,Fort Pienc,770.13,11.04
2015,2,Eixample,Sagrada Familia,704.44,11.15
2015,2,Eixample,la Dreta de l'Eixample,988.89,10.66
2015,2,Eixample,l'Antiga Esquerra de l'Eixample,906.14,11.14
2015,2,Eixample,la Nova Esquerra de l'Eixample,766.85,11.2
2015,2,Eixample,Sant Antoni,746.0,10.91
2015,2,Sants-Montjuic,el Poble Sec,598.47,11.36
2015,2,Sants-Montjuic,la Marina del Prat Vermell,381.07,6.5
2015,2,Sants-Montjuic,la Marina de Port,536.18,8.23
